"word","category","category_reason","definition"
"abseil","2","uncommon or archaic (low frequency)","(mountaineering) a descent of a vertical cliff or wall made by using a doubled rope that is fixed to a higher point and wrapped around the body"
"abseiled","2","uncommon or archaic (low frequency)","lower oneself with a rope coiled around the body from a mountainside"
"abseiling","2","uncommon or archaic (low frequency)","lower oneself with a rope coiled around the body from a mountainside"
"absence","1","common english (recognizable)","the state of being absent"
"absences","2","uncommon or archaic (low frequency)","the state of being absent"
"absent","1","common english (recognizable)","go away or leave"
"absented","2","uncommon or archaic (low frequency)","go away or leave"
"absentee","2","uncommon or archaic (low frequency)","one that is absent or not in residence"
"absenteeism","2","uncommon or archaic (low frequency)","habitual absence from work"
"absentees","2","uncommon or archaic (low frequency)","one that is absent or not in residence"
"absenting","2","uncommon or archaic (low frequency)","go away or leave"
"absently","2","uncommon or archaic (low frequency)","in an absentminded or preoccupied manner"
"absentminded","2","uncommon or archaic (low frequency)","lost in thought; showing preoccupation"
"absentmindedly","2","uncommon or archaic (low frequency)","in an absentminded or preoccupied manner"
"absentmindedness","2","uncommon or archaic (low frequency)","preoccupation so great that the ordinary demands on attention are ignored"
"absents","2","uncommon or archaic (low frequency)","go away or leave"
"absinth","2","uncommon or archaic (low frequency)","strong green liqueur flavored with wormwood and anise"
"absinthe","2","uncommon or archaic (low frequency)","aromatic herb of temperate Eurasia and North Africa having a bitter taste used in making the liqueur absinthe"
"absinthes","2","uncommon or archaic (low frequency)","aromatic herb of temperate Eurasia and North Africa having a bitter taste used in making the liqueur absinthe"
"absolute","1","common english (recognizable)","something that is conceived or that exists independently and not in relation to other things; something that does not depend on anything else and is beyond human control; something that is not relative"
"absolutely","1","common english (recognizable)","completely and without qualification; used informally as intensifiers"
"absoluteness","2","uncommon or archaic (low frequency)","the quality of being complete or utter or extreme"
"absolution","2","uncommon or archaic (low frequency)","the condition of being formally forgiven by a priest in the sacrament of penance"
"absolutism","2","uncommon or archaic (low frequency)","dominance through threat of punishment and violence"
"absolutist","2","uncommon or archaic (low frequency)","one who advocates absolutism"
"absolutists","2","uncommon or archaic (low frequency)","one who advocates absolutism"
"absolve","2","uncommon or archaic (low frequency)","grant remission of a sin to"
"absolved","2","uncommon or archaic (low frequency)","grant remission of a sin to"
"absolver","2","uncommon or archaic (low frequency)","someone who grants absolution"
"absolves","2","uncommon or archaic (low frequency)","grant remission of a sin to"
"absolving","2","uncommon or archaic (low frequency)","grant remission of a sin to"
"absorb","1","common english (recognizable)","become imbued"
"absorbable","2","uncommon or archaic (low frequency)","capable of being absorbed or taken in through the pores of a surface"
"absorbance","2","uncommon or archaic (low frequency)","(physics) a measure of the extent to which a substance transmits light or other electromagnetic radiation"
"absorbed","1","common english (recognizable)","become imbued"
"absorbency","2","uncommon or archaic (low frequency)","the property of being absorbent"
"absorbent","2","uncommon or archaic (low frequency)","a material having capacity or tendency to absorb another substance"
"absorbents","2","uncommon or archaic (low frequency)","a material having capacity or tendency to absorb another substance"
"absorber","2","uncommon or archaic (low frequency)","(physics) material in a nuclear reactor that absorbs radiation"
"absorbers","2","uncommon or archaic (low frequency)","(physics) material in a nuclear reactor that absorbs radiation"
"absorbing","1","common english (recognizable)","become imbued"
"absorbs","2","uncommon or archaic (low frequency)","become imbued"
"absorption","1","common english (recognizable)","(chemistry) a process in which one substance permeates another; a fluid permeates or is dissolved by a liquid or solid"
"absorptions","2","uncommon or archaic (low frequency)","(chemistry) a process in which one substance permeates another; a fluid permeates or is dissolved by a liquid or solid"
"absorptive","2","uncommon or archaic (low frequency)","having power or capacity or tendency to absorb or soak up something (liquids or energy etc.)"
"absorptivity","2","uncommon or archaic (low frequency)","(physics) the property of a body that determines the fraction of the incident radiation or sound flux absorbed or absorbable by the body"
"abstain","2","uncommon or archaic (low frequency)","refrain from voting"
"abstained","2","uncommon or archaic (low frequency)","refrain from voting"
"abstainer","2","uncommon or archaic (low frequency)","someone who practices self denial as a spiritual discipline"
"abstainers","2","uncommon or archaic (low frequency)","someone who practices self denial as a spiritual discipline"
"abstaining","2","uncommon or archaic (low frequency)","refrain from voting"
"abstains","2","uncommon or archaic (low frequency)","refrain from voting"
"abstemious","2","uncommon or archaic (low frequency)","sparing in consumption of especially food and drink; - John Galsworthy"
"abstemiousness","2","uncommon or archaic (low frequency)","restricted to bare necessities"
"abstention","2","uncommon or archaic (low frequency)","the trait of abstaining (especially from alcohol)"
"abstentions","2","uncommon or archaic (low frequency)","the trait of abstaining (especially from alcohol)"
"abstinence","2","uncommon or archaic (low frequency)","the trait of abstaining (especially from alcohol)"
"abstinent","2","uncommon or archaic (low frequency)","a person who refrains from drinking intoxicating beverages"
"abstract","1","common english (recognizable)","a concept or idea not associated with any specific instance"
"abstracted","2","uncommon or archaic (low frequency)","consider a concept without thinking of a specific example; consider abstractly or theoretically"
"abstracting","2","uncommon or archaic (low frequency)","consider a concept without thinking of a specific example; consider abstractly or theoretically"
"abstraction","2","uncommon or archaic (low frequency)","a concept or idea not associated with any specific instance"
"abstractionism","2","uncommon or archaic (low frequency)","an abstract genre of art; artistic content depends on internal form rather than pictorial representation"
"abstractionist","2","uncommon or archaic (low frequency)","a painter of abstract pictures"
"abstractions","2","uncommon or archaic (low frequency)","a concept or idea not associated with any specific instance"
"abstractly","2","uncommon or archaic (low frequency)","in abstract terms"
"abstractness","2","uncommon or archaic (low frequency)","the quality of being considered apart from a specific instance or object"
"abstracts","2","uncommon or archaic (low frequency)","a concept or idea not associated with any specific instance"
"abstruse","2","uncommon or archaic (low frequency)","difficult to penetrate; incomprehensible to one of ordinary understanding or knowledge"
"absurd","1","common english (recognizable)","a situation in which life seems irrational and meaningless; --Albert Camus"
"absurdities","2","uncommon or archaic (low frequency)","a message whose content is at variance with reason"
"absurdity","2","uncommon or archaic (low frequency)","a message whose content is at variance with reason"
"absurdly","2","uncommon or archaic (low frequency)","in an absurd manner or to an absurd degree"
"abundance","1","common english (recognizable)","the property of a more than adequate quantity or supply"
"abundances","2","uncommon or archaic (low frequency)","the property of a more than adequate quantity or supply"
"abundant","1","common english (recognizable)","present in great quantity"
"abundantly","2","uncommon or archaic (low frequency)","in an abundant manner"
"abuse","1","common english (recognizable)","cruel or inhumane treatment"
"abused","1","common english (recognizable)","treat badly"
"abuser","2","uncommon or archaic (low frequency)","someone who abuses"
"abusers","2","uncommon or archaic (low frequency)","someone who abuses"
"abuses","1","common english (recognizable)","cruel or inhumane treatment"
"abusing","1","common english (recognizable)","treat badly"
"abusive","1","common english (recognizable)","expressing offensive reproach"
"abusively","2","uncommon or archaic (low frequency)","in an abusive manner"
"abut","2","uncommon or archaic (low frequency)","lie adjacent to another or share a boundary"
"abutilon","2","uncommon or archaic (low frequency)","herbs or shrubs or small trees: flowering maple; Indian mallow"
